ID,Title,IMDb,Age Category,d1,d2,d3,d4
360,He Never Died,6.4,18+,0,0,0,1
361,Black Sea,6.4,18+,0,0,0,1
362,Ali's Wedding,6.9,18+,0,0,0,1
363,Event Horizon,6.7,18+,0,0,0,1
364,Mississippi Grind,6.4,18+,0,0,0,1
365,They'll Love Me When I'm Dead,7.4,18+,0,0,0,1
366,Badla,7.9,7+,1,0,0,0
367,Young Adult,6.2,18+,0,0,0,1
368,Scary Movie,6.2,18+,0,0,0,1
369,The Dirt,7,18+,0,0,0,1
370,Killer Klowns from Outer Space,6.2,13+,0,1,0,0
371,The Exception,6.8,18+,0,0,0,1
372,Spenser Confidential,6.2,18+,0,0,0,1
373,Wheelman,6.4,18+,0,0,0,1
374,While We're Young,6.3,18+,0,0,0,1
375,Die Another Day,6.1,13+,0,1,0,0
376,The Grandmaster,6.6,13+,0,1,0,0
377,Bathtubs Over Broadway,7.5,13+,0,1,0,0
378,Cadillac Records,7,18+,0,0,0,1
379,The Runaways,6.5,18+,0,0,0,1
380,2012,5.8,13+,0,1,0,0
381,The Half of It,7,13+,0,1,0,0
382,Tigertail,6.4,7+,1,0,0,0
383,Sleeping with Other People,6.5,18+,0,0,0,1
384,What Lies Beneath,6.6,13+,0,1,0,0
385,Fractured,6.4,18+,0,0,0,1
386,Master Z: Ip Man Legacy,6.5,13+,0,1,0,0
387,Neruda,6.9,18+,0,0,0,1
388,One Day,7,13+,0,1,0,0
389,Just Friends,6.2,13+,0,1,0,0
390,The Grinch,6.3,7+,1,0,0,0
391,Time Trap,6.5,18+,0,0,0,1
392,Final Destination 2,6.2,18+,0,0,0,1
393,White Fang,6.9,7+,1,0,0,0
394,All the Bright Places,6.5,18+,0,0,0,1
395,Underworld: Rise of the Lycans,6.6,18+,0,0,0,1
396,Kevin Hart: Laugh at My Pain,7.4,18+,0,0,0,1
397,Gridiron Gang,6.9,13+,0,1,0,0
398,Hot Rod,6.7,13+,0,1,0,0
399,Bee Movie,6.1,7+,1,0,0,0
400,Trash,7.2,18+,0,0,0,1
401,The Photographer of Mauthausen,6.7,18+,0,0,0,1
402,He's Just Not That Into You,6.4,13+,0,1,0,0
403,Forks Over Knives,7.7,7+,1,0,0,0
404,Bandits,6.5,13+,0,1,0,0
405,Blame!,6.7,13+,0,1,0,0
